cc,no_rto_backoff,cap_s,bytes,mbps,bytes_sent,bytes_retrans,cwnd_last,rto_min_ms,rto_max_ms,ts
cubic,0,120,783360,0.052,1166167,241900,1,418,31664,1789767762
cubic,1,120,522240,0.035,883535,235836,1,492,21042,1789767942
ee542c,0,120,214379520,14.292,269956903,56565520,1730,402,1236,1789768068
ee542c,1,120,209940480,13.996,263747191,54415384,1730,405,526,1789768194
cubic,0,120,261120,0.017,568315,126232,2,417,120000,1789768739
cubic,1,120,783360,0.052,1120923,271952,3,432,7031,1789768912
ee542c,0,120,177300480,11.82,227794903,48909952,1730,403,3413,1789769038
ee542c,1,120,206545920,13.77,257896111,51068636,1730,405,761,1789769163
cubic,0,120,1305600,0.087,1610927,301492,1,418,120000,1789770221
cubic,1,120,1044480,0.07,1486362,295663,4,536,3166,1789770367
ee542c,0,120,157977600,10.532,201028415,42408756,1730,404,803,1789770494
ee542c,1,120,148838400,9.923,189108519,40323364,1730,404,770,1789770620
