rtt_ms,loss_pct,cap_s,bytes,mbps,bytes_sent,bytes_retrans,cwnd_last,rto_last_ms,ts
0,0,60,715729920,95.431,710536423,0,1540,372,1789121116
20,0,60,710246400,94.7,705477691,0,2328,370,1789121182
40,0,60,705546240,94.073,700928851,0,2876,372,1789121248
60,0,60,699801600,93.307,695088147,0,2956,370,1789121314
80,0,60,693534720,92.471,688675327,0,2758,372,1789121381
100,0,60,687790080,91.705,683146079,0,2954,372,1789121447
120,0,60,678389760,90.452,672968235,0,2946,371,1789121514
140,0,60,671339520,89.512,666456683,0,2958,371,1789121581
160,0,60,666639360,88.885,657476731,0,2977,371,1789121650
180,0,60,623815680,83.175,614472215,0,2976,384,1789121720
200,0,60,560885760,74.785,553225927,0,2963,401,1789121789
0,5,60,195056640,26.008,202081631,9813592,22,203,1789121858
20,5,60,22195200,2.959,23064091,1069976,5,231,1789121933
40,5,60,10444800,1.393,11097799,616824,2,243,1789122001
60,5,60,8616960,1.149,9072111,450396,4,262,1789122076
80,5,60,6005760,0.801,6384951,311296,8,290,1789122142
100,5,60,4961280,0.662,5357867,254848,11,327,1789122208
120,5,60,3394560,0.453,3650939,211564,8,342,1789122276
140,5,60,4177920,0.557,4374783,195480,12,343,1789122344
160,5,60,3655680,0.487,3685295,159040,5,370,1789122419
180,5,60,2872320,0.383,3200307,159228,9,385,1789122492
200,5,60,1827840,0.244,2010447,145048,4,471,1789122564
0,10,60,19584000,2.611,21873559,2357512,2,204,1789122633
20,10,60,8094720,1.079,8776667,852872,6,222,1789122699
40,10,60,4961280,0.662,5537639,618408,4,248,1789122767
60,10,60,3916800,0.522,4570627,452212,4,292,1789122838
80,10,60,2088960,0.279,2392071,270376,4,282,1789122921
100,10,60,2088960,0.279,2336635,216412,5,11501,1789122996
120,10,60,1305600,0.174,1504935,162264,4,1436,1789123081
140,10,60,1827840,0.244,2214522,223147,6,359,1789123160
160,10,60,1827840,0.244,2034927,202892,1,1357,1789123243
180,10,60,1566720,0.209,1839419,175292,7,408,1789123333
200,10,60,1305600,0.174,1466886,148831,4,476,1789123404
0,15,60,4177920,0.557,5092883,781016,1,1144,1789123481
20,15,60,2872320,0.383,3249843,544604,7,536,1789123549
40,15,60,1305600,0.174,1643111,274376,4,249,1789123623
60,15,60,1827840,0.244,2291503,378320,4,271,1789123697
80,15,60,1044480,0.139,1197555,203852,3,120000,1789124130
100,15,60,522240,0.07,853599,150944,5,3192,1789124222
120,15,60,783360,0.104,1178107,184404,6,365,1789124294
140,15,60,1044480,0.139,1302067,191076,4,350,1789124366
160,15,60,783360,0.104,829979,130220,1,74256,1789124507
180,15,60,783360,0.104,1071979,163708,3,3070,1789124583
200,15,60,0,0.0,248787,53732,2,21040,1789124744
0,20,60,783360,0.104,918366,147655,1,12110,1789124816
20,20,60,1044480,0.139,1340694,299207,2,3104,1789124959
40,20,60,0,0.0,341943,86072,1,24256,1789125036
60,20,60,522240,0.07,1000830,257631,1,120000,1789127298
80,20,60,0,0.0,317162,88803,1,23406,1789127381
100,20,60,783360,0.104,1142514,237139,1,940,1789127470
120,20,60,0,0.0,271967,45056,1,13110,1789127539
140,20,60,0,0.0,238622,65287,2,38052,1789127840
160,20,60,0,0.0,348643,84084,1,1634,1789127914
180,20,60,261120,0.035,627499,117428,1,11836,1789128028
200,20,60,0,0.0,202906,51291,1,4238,1789128101
0,25,60,0,0.0,321622,100503,7,120000,1789130415
20,25,60,0,0.0,189611,43836,1,18580,1789130528
40,25,60,0,0.0,225442,66587,1,68050,1789130878
60,25,60,261120,0.035,431139,117996,3,715,1789130962
80,25,60,0,0.0,293831,82848,1,5782,1789131056
100,25,60,261120,0.035,643091,166324,5,120000,1789133287
120,25,60,0,0.0,238478,76727,1,120000,1789134520
140,25,60,0,0.0,256279,80048,3,120000,1789135201
160,25,60,0,0.0,240703,76056,4,120000,1789136174
180,25,60,0,0.0,187903,63800,1,120000,1789137190
200,25,60,261120,0.035,493931,141692,2,120000,1789138031
