rtt_ms,loss_pct,cap_s,bytes,mbps,bytes_sent,bytes_retrans,cwnd_last,rto_last_ms,ts
200,20,60,71808000,9.574,90832051,18233176,1730,451,1789708962
0,0,60,715468800,95.396,710340095,0,1730,372,1789753055
20,0,60,710768640,94.769,705654231,0,1730,372,1789753122
40,0,60,705546240,94.073,700532823,0,1730,372,1789753189
60,0,60,700062720,93.342,694850835,0,1730,372,1789753257
80,0,60,694056960,92.541,689038455,0,1730,372,1789753324
100,0,60,688312320,91.775,683032563,0,1730,372,1789753392
120,0,60,682567680,91.009,677528099,0,1730,372,1789753460
140,0,60,676823040,90.243,671627711,0,1730,372,1789753528
160,0,60,671078400,89.477,665833387,0,1730,372,1789753596
180,0,60,626165760,83.489,622208767,0,1730,382,1789753665
200,0,60,558796800,74.506,554553903,0,1730,401,1789753733
0,5,60,703457280,93.794,733253411,35388488,1730,339,1789753801
20,5,60,690401280,92.054,724088707,37594584,1730,251,1789753869
40,5,60,679173120,90.556,710320651,37232352,1730,302,1789753937
60,5,60,632693760,84.359,661259479,32284540,1730,294,1789754004
80,5,60,522240000,69.632,546385763,27089108,1730,304,1789754072
100,5,60,437114880,58.282,456771319,22741296,1730,318,1789754140
120,5,60,378101760,50.414,396151199,19453872,1730,328,1789754208
140,5,60,319872000,42.65,335679559,16914916,1730,348,1789754277
160,5,60,282009600,37.601,293585782,13724631,1730,390,1789754350
180,5,60,256942080,34.259,267577439,12581960,1730,426,1789754419
200,5,60,197406720,26.321,205772987,10454904,1730,438,1789754487
0,10,60,672384000,89.651,740768611,72582912,1730,299,1789754556
20,10,60,647316480,86.309,714182887,71472968,1730,332,1789754628
40,10,60,609192960,81.226,673100491,67440992,1730,245,1789754696
60,10,60,524590080,69.945,581158447,56279120,1730,270,1789754769
80,10,60,414397440,55.253,456554679,44768760,1730,294,1789754838
100,10,60,349900800,46.653,383643823,36807572,1730,309,1789754916
120,10,60,274437120,36.592,305137811,32633040,1730,333,1789754985
140,10,60,230046720,30.673,253393527,26200496,1730,351,1789755064
160,10,60,197928960,26.391,220480247,23134484,1730,424,1789755139
180,10,60,159544320,21.273,176918099,17326352,1730,429,1789755213
200,10,60,144921600,19.323,158204015,15344544,1730,439,1789755283
0,15,60,546785280,72.905,644798651,100439084,1730,284,1789755357
20,15,60,527462400,70.328,618251755,92624128,1730,397,1789755425
40,15,60,481766400,64.236,562653643,85262456,1730,267,1789755504
60,15,60,249108480,33.214,293519651,45579452,1730,548,1789755578
80,15,60,312560640,41.675,364948563,55877132,1730,391,1789755679
100,15,60,230046720,30.673,269450615,40334940,1730,312,1789755764
120,15,60,205762560,27.435,240366907,35994348,1730,330,1789755842
140,15,60,180695040,24.093,213512467,31657980,1730,344,1789755922
160,15,60,155627520,20.75,182453046,27083095,1730,373,1789755991
180,15,60,145182720,19.358,166903231,23193680,1730,391,1789756067
200,15,60,108887040,14.518,126973907,20022800,1730,419,1789756141
0,20,60,457743360,61.032,571195203,117033240,1,418,1789756216
20,20,60,338672640,45.156,418876891,85007608,1730,233,1789756298
40,20,60,392463360,52.328,493204746,101936883,1730,243,1789756371
60,20,60,238924800,31.857,299504622,62812459,1730,269,1789756444
80,20,60,197667840,26.356,248609830,52402663,1730,387,1789756513
100,20,60,211768320,28.236,267852923,55982924,1730,325,1789756587
120,20,60,132910080,17.721,165804811,34022460,1730,322,1789756667
140,20,60,72069120,9.609,90913615,18808712,1730,389,1789756742
160,20,60,105492480,14.066,132546067,27126940,1730,364,1789756816
180,20,60,75202560,10.027,95603363,20616588,1730,441,1789756895
0,25,60,384629760,51.284,514336743,131767368,1730,232,1789756971
20,25,60,125337600,16.712,170380350,44742939,1730,248,1789757049
40,25,60,163722240,21.83,225108734,61025707,1730,245,1789757125
60,25,60,191923200,25.59,261970282,69459119,1730,263,1789757203
80,25,60,167116800,22.282,224947915,59488044,1730,282,1789757281
100,25,60,89041920,11.872,121574523,33443092,1730,304,1789757355
120,25,60,132126720,17.617,177811527,47990096,1730,334,1789757425
140,25,60,46740480,6.232,62366450,16060327,1730,675,1789757495
160,25,60,78858240,10.514,106359667,27188916,1730,987,1789757575
180,25,60,62929920,8.391,86066266,22668239,1730,438,1789757667
200,25,60,39690240,5.292,54236459,14405364,1730,665,1789757763
