ts,tier,nodes,framework,job,rep,wall_s,yarn_ms,app,extra
1790035330,small,1,mr,wordcount,1,39.486692112,33001,application_1790035187502_0001,
1790035370,small,1,mr,wordcount,2,37.832494620,32010,application_1790035187502_0002,
1790035408,small,1,mr,wordcount,3,36.423462670,30383,application_1790035187502_0003,
1790035449,small,1,mr,charcount,1,39.145787540,34004,application_1790035187502_0004,
1790035491,small,1,mr,charcount,2,40.365568579,33902,application_1790035187502_0005,
1790035533,small,1,mr,charcount,3,39.513682688,33709,application_1790035187502_0006,
1790035559,small,1,mr,minmax,1,22.740622482,17475,application_1790035187502_0007,
1790035586,small,1,mr,minmax,2,23.483455880,18489,application_1790035187502_0008,
1790035614,small,1,mr,minmax,3,23.608622497,17920,application_1790035187502_0009,
1790035662,small,1,spark-yarn,wordcount,1,6.956,34608,application_1790035187502_0010,submit_wall_s=44.308769138;
1790035707,small,1,spark-yarn,wordcount,2,7.029,35499,application_1790035187502_0011,submit_wall_s=41.518743578;
1790035753,small,1,spark-yarn,wordcount,3,7.989,36627,application_1790035187502_0012,submit_wall_s=42.605232420;
1790035800,small,1,spark-yarn,charcount,1,8.045,36548,application_1790035187502_0013,submit_wall_s=42.523668377;
1790035846,small,1,spark-yarn,charcount,2,8.090,37027,application_1790035187502_0014,submit_wall_s=42.754062657;
1790035892,small,1,spark-yarn,charcount,3,6.918,35392,application_1790035187502_0015,submit_wall_s=41.522745619;
1790035938,small,1,spark-yarn,minmax,1,7.838,35553,application_1790035187502_0016,submit_wall_s=42.788322578;min_scan_s=5.819;max_scan_s=0.926
1790035984,small,1,spark-yarn,minmax,2,7.272,35972,application_1790035187502_0017,submit_wall_s=41.746244370;min_scan_s=5.193;max_scan_s=0.862
1790036029,small,1,spark-yarn,minmax,3,7.297,36287,application_1790035187502_0018,submit_wall_s=41.942029130;min_scan_s=5.334;max_scan_s=0.834
1790036041,small,1,spark-local,wordcount,1,4.792,,,submit_wall_s=9.650127684;
1790036052,small,1,spark-local,wordcount,2,4.834,,,submit_wall_s=9.535236681;
1790036064,small,1,spark-local,wordcount,3,5.096,,,submit_wall_s=9.921574343;
1790036077,small,1,spark-local,charcount,1,6.038,,,submit_wall_s=10.808346927;
1790036089,small,1,spark-local,charcount,2,5.817,,,submit_wall_s=10.580871293;
1790036102,small,1,spark-local,charcount,3,6.363,,,submit_wall_s=11.073171173;
1790036115,small,1,spark-local,minmax,1,6.159,,,submit_wall_s=11.193156867;min_scan_s=3.853;max_scan_s=0.749
1790036127,small,1,spark-local,minmax,2,5.960,,,submit_wall_s=10.669670787;min_scan_s=3.851;max_scan_s=0.667
1790036140,small,1,spark-local,minmax,3,5.763,,,submit_wall_s=10.659328431;min_scan_s=3.737;max_scan_s=0.697
1790036562,large,1,mr,wordcount,1,419.809449390,414603,application_1790035187502_0019,
1790036970,large,1,mr,wordcount,2,406.134862847,401473,application_1790035187502_0020,
1790038891,large,1,mr,charcount,1,1919.447030690,1914102,application_1790035187502_0021,
1790040773,large,1,mr,charcount,2,1880.212774524,1874653,application_1790035187502_0022,
1790040809,large,1,mr,minmax,1,32.464257741,27173,application_1790035187502_0023,
1790040847,large,1,mr,minmax,2,34.214092446,28689,application_1790035187502_0024,
1790041028,large,1,spark-yarn,wordcount,1,142.091,170709,application_1790035187502_0025,submit_wall_s=177.791719449;
1790041211,large,1,spark-yarn,wordcount,2,143.343,171575,application_1790035187502_0026,submit_wall_s=178.972817750;
1790041671,large,1,spark-yarn,charcount,1,421.413,449881,application_1790035187502_0027,submit_wall_s=456.601950325;
1790042129,large,1,spark-yarn,charcount,2,420.041,448589,application_1790035187502_0028,submit_wall_s=454.550162272;
1790042312,large,1,spark-yarn,minmax,1,144.890,173881,application_1790035187502_0029,submit_wall_s=179.301194059;min_scan_s=139.828;max_scan_s=4.036
1790042493,large,1,spark-yarn,minmax,2,142.919,171989,application_1790035187502_0030,submit_wall_s=177.279558437;min_scan_s=138.147;max_scan_s=3.858
1790042634,small,2,mr,wordcount,1,29.366870677,24524,application_1790042581250_0001,
1790042660,small,2,mr,wordcount,2,24.555170063,20108,application_1790042581250_0002,
1790042689,small,2,mr,wordcount,3,26.707967464,21701,application_1790042581250_0003,
1790042721,small,2,mr,charcount,1,29.805116666,25454,application_1790042581250_0004,
1790042750,small,2,mr,charcount,2,27.378428231,22902,application_1790042581250_0005,
1790042782,small,2,mr,charcount,3,30.589374821,26037,application_1790042581250_0006,
1790042808,small,2,mr,minmax,1,22.302899580,17460,application_1790042581250_0007,
1790042836,small,2,mr,minmax,2,24.205567189,18680,application_1790042581250_0008,
1790042863,small,2,mr,minmax,3,23.942787795,18890,application_1790042581250_0009,
1790042895,small,2,spark-yarn,wordcount,1,5.379,22340,application_1790042581250_0010,submit_wall_s=28.288677226;
1790042922,small,2,spark-yarn,wordcount,2,5.234,14708,application_1790042581250_0011,submit_wall_s=22.203371650;
1790042946,small,2,spark-yarn,wordcount,3,4.985,14304,application_1790042581250_0012,submit_wall_s=19.786838412;
1790042970,small,2,spark-yarn,charcount,1,5.667,15239,application_1790042581250_0013,submit_wall_s=21.260947840;
1790042994,small,2,spark-yarn,charcount,2,5.471,14765,application_1790042581250_0014,submit_wall_s=20.346516880;
1790043018,small,2,spark-yarn,charcount,3,5.495,14071,application_1790042581250_0015,submit_wall_s=20.263849704;
1790043043,small,2,spark-yarn,minmax,1,5.701,14858,application_1790042581250_0016,submit_wall_s=20.489925544;min_scan_s=4.021;max_scan_s=0.517
1790043068,small,2,spark-yarn,minmax,2,5.783,15123,application_1790042581250_0017,submit_wall_s=21.119585801;min_scan_s=4.371;max_scan_s=0.410
1790043092,small,2,spark-yarn,minmax,3,5.923,15368,application_1790042581250_0018,submit_wall_s=20.958709181;min_scan_s=4.308;max_scan_s=0.473
1790043104,small,2,spark-local,wordcount,1,4.686,,,submit_wall_s=9.422418255;
1790043115,small,2,spark-local,wordcount,2,4.598,,,submit_wall_s=9.325204208;
1790043126,small,2,spark-local,wordcount,3,5.101,,,submit_wall_s=9.790489373;
1790043138,small,2,spark-local,charcount,1,5.345,,,submit_wall_s=10.026399287;
